candidate_id,name,norm_name,place_type,focus_type,is_specific_focus,localidad,comuna,provincia,region,lat,lon,source,ambiguous_count
geo_031005,Punta Colma,punta colma,Elementos del Relieve,relieve,True,,TORTEL,CAPITAN PRAT,DE AISEN,-47.96673480093596,-73.43297745388125,Toponimos_BCN,1
geo_031006,Punta Colombo,punta colombo,Elementos del Relieve,relieve,True,,PUNTA ARENAS,MAGALLANES,DE MAGALLANES y ANTARTICA CHILENA,-54.33337102563247,-71.41626386670802,Toponimos_BCN,1
geo_031007,Punta Colorada,punta colorada,Aldea,otro,True,Punta Colorada,La Higuera,,,-29.35322955316058,-71.01769637634827,Areas_Pobladas_BCN,6
geo_031008,Punta Colorada,punta colorada,Centro Poblado,localidad,False,Punta Colorada,LA HIGUERA,ELQUI,DE COQUIMBO,-29.350126500496813,-71.03306422039256,Toponimos_BCN,6
geo_031009,Punta Colorada,punta colorada,Elementos del Relieve,relieve,True,,PUMANQUE,COLCHAGUA,DEL LIBERTADOR B OHIGGINS,-34.600110205076035,-71.5663807607121,Toponimos_BCN,6
geo_031010,Punta Colorada,punta colorada,Elementos del Relieve,relieve,True,,ANTOFAGASTA,ANTOFAGASTA,DE ANTOFAGASTA,-23.50014399168353,-70.53307847662592,Toponimos_BCN,6
geo_031011,Punta Colorada,punta colorada,Elementos del Relieve,relieve,True,,ANCUD,CHILOE,DE LOS LAGOS,-41.86675761965989,-73.79967920493225,Toponimos_BCN,6
geo_031012,Punta Colorada,punta colorada,Elementos del Relieve,relieve,True,,HUARA,TAMARUGAL,DE TARAPACA,-20.06020825528894,-70.13088046367285,Toponimos_BCN,6
geo_031013,Punta Coloso,punta coloso,Elementos del Relieve,relieve,True,,ANTOFAGASTA,ANTOFAGASTA,DE ANTOFAGASTA,-23.75014317268996,-70.46641150081497,Toponimos_BCN,1
geo_031014,Punta Colu,punta colu,Elementos del Relieve,relieve,True,,QUEMCHI,CHILOE,DE LOS LAGOS,-42.23092176890859,-73.36801155484179,Toponimos_BCN,1
geo_031015,Punta Colun,punta colun,Elementos del Relieve,relieve,True,,LA UNION,RANCO,DE LOS RIOS,-40.06676349655142,-73.66635477814735,Toponimos_BCN,1
geo_031016,Punta Comming,punta comming,Elementos del Relieve,relieve,True,,RIO VERDE,MAGALLANES,DE MAGALLANES y ANTARTICA CHILENA,-52.73337720303568,-71.43294534797215,Toponimos_BCN,1
geo_031017,Punta Conao,punta conao,Elementos del Relieve,relieve,True,,QUINCHAO,CHILOE,DE LOS LAGOS,-42.50008788866714,-73.51634326281433,Toponimos_BCN,1
geo_031018,Punta Conchas,punta conchas,Elementos del Relieve,relieve,True,,LOS VILOS,CHOAPA,DE COQUIMBO,-31.735388584158667,-71.54254458268889,Toponimos_BCN,2
geo_031019,Punta Conchas,punta conchas,Elementos del Relieve,relieve,True,,QUINCHAO,CHILOE,DE LOS LAGOS,-42.43342134120966,-73.46634377700697,Toponimos_BCN,2
geo_031020,Punta Concon,punta concon,Elementos del Relieve,relieve,True,,CON CON,VALPARAISO,DE VALPARAISO,-32.928402587171284,-71.55190649489828,Toponimos_BCN,1
geo_031021,Punta Concura,punta concura,Elementos del Relieve,relieve,True,,ANCUD,CHILOE,DE LOS LAGOS,-41.9078677394518,-73.50745745770553,Toponimos_BCN,1
geo_031022,Punta Condell,punta condell,Elementos del Relieve,relieve,True,,AISEN,AISEN,DE AISEN,-46.80007575382378,-74.56631613429519,Toponimos_BCN,2
geo_031023,Punta Condell,punta condell,Elementos del Relieve,relieve,True,,JUAN FERNANDEZ,VALPARAISO,DE VALPARAISO,-33.725671542028145,-80.80830425379158,Toponimos_BCN,2
geo_031024,Punta Condor,punta condor,Elementos del Relieve,relieve,True,,AISEN,AISEN,DE AISEN,-46.76674216047027,-74.41631668603138,Toponimos_BCN,4
geo_031025,Punta Condor,punta condor,Elementos del Relieve,relieve,True,,RIO VERDE,MAGALLANES,DE MAGALLANES y ANTARTICA CHILENA,-53.35004514439985,-72.51627012461842,Toponimos_BCN,4
geo_031026,Punta Condor,punta condor,Elementos del Relieve,relieve,True,,NATALES,ULTIMA ESPERANZA,DE MAGALLANES y ANTARTICA CHILENA,-50.70006443535742,-75.39961927590105,Toponimos_BCN,4
geo_031027,Punta Condor,punta condor,Elementos del Relieve,relieve,True,,RIO NEGRO,OSORNO,DE LOS LAGOS,-40.75009505551854,-73.88301781916675,Toponimos_BCN,4
geo_031028,Punta Conev,punta conev,Elementos del Relieve,relieve,True,,QUEMCHI,CHILOE,DE LOS LAGOS,-42.33342071656015,-73.13301156145717,Toponimos_BCN,1
geo_031029,Punta Conglomerada,punta conglomerada,Elementos del Relieve,relieve,True,,TORTEL,CAPITAN PRAT,DE AISEN,-48.70007229239772,-75.63296742109009,Toponimos_BCN,1
geo_031030,Punta Conglomerate,punta conglomerate,Elementos del Relieve,relieve,True,,TORTEL,CAPITAN PRAT,DE AISEN,-48.70007229239772,-75.63296742109009,Toponimos_BCN,1
geo_031031,Punta Connolly,punta connolly,Elementos del Relieve,relieve,True,,NATALES,ULTIMA ESPERANZA,DE MAGALLANES y ANTARTICA CHILENA,-50.01673046536954,-74.43296023593261,Toponimos_BCN,1
geo_031032,Punta Cono,punta cono,Elementos del Relieve,relieve,True,,NATALES,ULTIMA ESPERANZA,DE MAGALLANES y ANTARTICA CHILENA,-52.083384951002735,-73.04961333771537,Toponimos_BCN,2
geo_031033,Punta Cono,punta cono,Elementos del Relieve,relieve,True,,PUNTA ARENAS,MAGALLANES,DE MAGALLANES y ANTARTICA CHILENA,-54.11670334056103,-70.83293427152877,Toponimos_BCN,2
geo_031034,Punta Conolly,punta conolly,Elementos del Relieve,relieve,True,,NATALES,ULTIMA ESPERANZA,DE MAGALLANES y ANTARTICA CHILENA,-50.01673046536954,-74.43296023593261,Toponimos_BCN,1
geo_031035,Punta Construccion,punta construccion,Elementos del Relieve,relieve,True,,AISEN,AISEN,DE AISEN,-45.31674478300229,-73.56632756799169,Toponimos_BCN,1
geo_031036,Punta Conte,punta conte,Elementos del Relieve,relieve,True,,NATALES,ULTIMA ESPERANZA,DE MAGALLANES y ANTARTICA CHILENA,-49.416732273317216,-74.31629848597802,Toponimos_BCN,1
geo_031037,Punta Contreras,punta contreras,Elementos del Relieve,relieve,True,,CHILE CHICO,GENERAL CARRERA,DE AISEN,-46.83340388388617,-72.89965299670912,Toponimos_BCN,3
geo_031038,Punta Contreras,punta contreras,Elementos del Relieve,relieve,True,,CABO DE HORNOS,ANTARTICA CHILENA,DE MAGALLANES y ANTARTICA CHILENA,-54.9000265897758,-68.7162665844876,Toponimos_BCN,3
geo_031039,Punta Contreras,punta contreras,Elementos del Relieve,relieve,True,,NATALES,ULTIMA ESPERANZA,DE MAGALLANES y ANTARTICA CHILENA,-52.333385752171125,-73.58294314345669,Toponimos_BCN,3
geo_031040,Punta Cook,punta cook,Elementos del Relieve,relieve,True,,ISLA DE PASCUA,ISLA DE PASCUA,DE VALPARAISO,-27.129349146278194,-109.43061057494594,Toponimos_BCN,2
geo_031041,Punta Cook,punta cook,Elementos del Relieve,relieve,True,,NATALES,ULTIMA ESPERANZA,DE MAGALLANES y ANTARTICA CHILENA,-50.04950985644097,-74.9887921550249,Toponimos_BCN,2
geo_031042,Punta Copaca,punta copaca,Elementos del Relieve,relieve,True,,TOCOPILLA,TOCOPILLA,DE ANTOFAGASTA,-22.32426152084366,-70.24467674327967,Toponimos_BCN,1
geo_031043,Punta Copiapó,punta copiapo,Elementos del Relieve,relieve,True,,CALDERA,COPIAPO,DE ATACAMA,-27.33496485962443,-70.9425265523869,Toponimos_BCN,1
geo_031044,Punta Copihues,punta copihues,Elementos del Relieve,relieve,True,,AISEN,AISEN,DE AISEN,-45.73341221776175,-74.34965663353634,Toponimos_BCN,1
geo_031045,Punta Cor,punta cor,Elementos del Relieve,relieve,True,,CHAITEN,PALENA,DE LOS LAGOS,-42.6167529548644,-73.0830102296119,Toponimos_BCN,1
