folio,id_persona,expp,expc,provincia,comuna
100480601,1,193,197,131,13112
100480601,2,193,197,131,13112
100480601,3,193,197,131,13112
100480601,4,193,197,131,13112
100480701,1,193,198,131,13112
100480701,2,193,198,131,13112
100480801,1,193,198,131,13112
100480801,2,193,198,131,13112
100480801,4,193,198,131,13112
100510101,1,86,75,61,6109
100510101,2,86,75,61,6109
100510101,3,86,75,61,6109
100510101,4,86,75,61,6109
100510101,5,86,75,61,6109
100510101,7,86,75,61,6109
100510101,8,86,75,61,6109
100510101,9,86,75,61,6109
100510201,1,86,75,61,6109
100510301,1,86,74,61,6109
100510501,1,86,75,61,6109
100510601,1,86,75,61,6109
100510601,2,86,75,61,6109
100510601,3,86,75,61,6109
100510701,1,86,75,61,6109
100510801,1,86,75,61,6109
100510801,2,86,75,61,6109
100510801,3,86,75,61,6109
100510901,1,86,75,61,6109
100510901,2,86,75,61,6109
100511001,1,86,74,61,6109
100530101,1,80,76,81,8112
100530101,3,80,76,81,8112
100530101,4,80,76,81,8112
100530101,5,80,76,81,8112
100530201,1,80,77,81,8112
100530301,1,80,76,81,8112
100530301,2,80,76,81,8112
100530401,1,81,77,81,8112
100530501,1,80,77,81,8112
100530501,2,80,77,81,8112
100530501,3,80,77,81,8112
100530501,4,80,77,81,8112
100530601,1,80,76,81,8112
100530601,2,80,76,81,8112
100530701,1,81,76,81,8112
100530701,2,81,76,81,8112
100530801,1,80,76,81,8112
100530801,2,80,76,81,8112
100530801,3,80,76,81,8112
100540401,1,67,70,103,10301
100540401,2,67,70,103,10301
100540601,1,67,70,103,10301
100540601,2,67,70,103,10301
100540601,3,67,70,103,10301
100540701,1,67,70,103,10301
100540701,2,67,70,103,10301
100540801,1,67,70,103,10301
100540801,2,67,70,103,10301
100540801,3,67,70,103,10301
100620201,1,338,341,131,13114
100620201,2,338,341,131,13114
100620201,3,338,341,131,13114
100620201,4,338,341,131,13114
100620301,1,338,340,131,13114
100620301,2,338,340,131,13114
100620301,3,338,340,131,13114
100620401,1,338,340,131,13114
100620401,2,338,340,131,13114
100620401,3,338,340,131,13114
100620401,4,338,340,131,13114
100630101,1,65,65,91,9103
100630101,2,65,65,91,9103
100630101,3,65,65,91,9103
100630201,1,65,64,91,9103
100630201,2,65,64,91,9103
100630201,3,65,64,91,9103
100630201,4,65,64,91,9103
100630201,5,65,64,91,9103
100630401,1,66,64,91,9103
100630501,1,65,64,91,9103
100630501,2,65,64,91,9103
100630501,3,65,64,91,9103
100630601,1,65,64,91,9103
100630601,2,65,64,91,9103
100630701,1,65,64,91,9103
100630701,2,65,64,91,9103
100630701,3,65,64,91,9103
100631001,1,65,64,91,9103
100631001,2,65,64,91,9103
100631001,3,65,64,91,9103
100631001,4,65,64,91,9103
100650301,1,168,170,131,13114
100650301,2,168,170,131,13114
100650301,3,168,170,131,13114
100650301,4,168,170,131,13114
100650401,1,169,170,131,13114
100650401,2,169,170,131,13114
100650401,3,169,170,131,13114
100650701,1,169,170,131,13114
100650701,2,169,170,131,13114
100650701,3,169,170,131,13114
100650701,4,169,170,131,13114
100700101,1,197,189,131,13119
100700101,2,197,189,131,13119
100700101,3,197,189,131,13119
100700201,1,197,188,131,13119
100700201,2,197,188,131,13119
100700201,3,197,188,131,13119
100700201,4,197,188,131,13119
100700201,5,197,188,131,13119
100700201,6,197,188,131,13119
100700301,1,198,188,131,13119
100700301,2,198,188,131,13119
100700301,3,198,188,131,13119
